Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration 
Phittayaporn Chaiwan;"5;17 (1)";19;2;3;923233;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;;;
Line Kjaersfeldt;"15;-56 (2)";19;3;9;923233;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Construccion;;Winner Phittayaporn Chaiwan;;;;
Phittayaporn Chaiwan;Rest Time (19);19;;;926833;16500;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (20);20;;;943333;1866;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"-2;25 (2)";20;1;6;941333;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Phittayaporn Chaiwan;Backhand short service;2;Construccion;;;;;;
Line Kjaersfeldt;"6;-17 (1)";20;2;1;942300;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"11;14 (1)";20;3;4;942300;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;Winner Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (20);20;;;945200;14566;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (21);21;;;959766;2066;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Line Kjaersfeldt;"2;-25 (4)";21;1;6;957766;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Line Kjaersfeldt;Forehand short service;5;Construccion;;;;;;
Phittayaporn Chaiwan;"-3;16 (2)";21;2;2;958933;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;;;
Line Kjaersfeldt;"-11;1 (1)";21;3;1;958933;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;NET;;;;Construccion;;Unforced Phittayaporn Chaiwan;;;;
Phittayaporn Chaiwan;Rest Time (21);21;;;961833;13933;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (22);22;;;975766;14733;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Line Kjaersfeldt;"-2;-24 (3)";22;1;7;973766;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;Line Kjaersfeldt;Forehand short service;6;Construccion;;;;;;
Phittayaporn Chaiwan;"5;18 (1)";22;2;3;974400;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;Modificada;;
Line Kjaersfeldt;"-13;-13 (2)";22;3;4;974800;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"-14;54 (3)";22;4;9;974800;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Construccion;;;;;;
Line Kjaersfeldt;"-15;-17 (1)";22;5;4;974800;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Defence;;;;;;
Phittayaporn Chaiwan;"-14;11 (3)";22;6;1;977633;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Construccion;;;;;;
Line Kjaersfeldt;"-14;-7 (1)";22;7;4;977633;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Defence;;;;;;
Phittayaporn Chaiwan;"-13;54 (2)";22;8;9;980600;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Construccion;;;;;;
Line Kjaersfeldt;"-14;-16 (2)";22;9;4;980600;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"15;55 (4)";22;10;12;980600;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Defence;F;;;;;
Line Kjaersfeldt;"12;-37 (1)";22;11;5;983366;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;5;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"13;12 (1)";22;12;4;983366;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Line Kjaersfeldt;"14;-55 (3)";22;13;9;983366;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"-15;55 (1)";22;14;9;983366;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Construccion;;;;;;
Line Kjaersfeldt;"-14;-55 (5)";22;15;12;983366;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Attack;;;;;;
Phittayaporn Chaiwan;"-14;42 (1)";22;16;5;988000;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;5;;;;Construccion;;Winner Line Kjaersfeldt;;;;
Phittayaporn Chaiwan;Rest Time (22);22;;;990500;23266;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (23);23;;;1013766;2100;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Line Kjaersfeldt;"2;-27 (1)";23;1;6;1011766;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Line Kjaersfeldt;Forehand short service;6;Construccion;;;;;;
Phittayaporn Chaiwan;"-5;19 (1)";23;2;2;1012666;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;Finta;;
Line Kjaersfeldt;"14;-13 (1)";23;3;1;1012700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Construccion;;Winner Phittayaporn Chaiwan;;;;
Phittayaporn Chaiwan;Rest Time (23);23;;;1015866;15500;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (24);24;;;1031366;8066;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"2;24 (3)";24;1;7;1029366;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;Phittayaporn Chaiwan;Forehand short service;5;Construccion;;;;;;
Line Kjaersfeldt;"-3;-17 (1)";24;2;3;1030533;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"-15;13 (2)";24;3;1;1030533;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Defence;;;;;;
Line Kjaersfeldt;"15;-55 (1)";24;4;9;1031333;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Attack;;;;;;
Phittayaporn Chaiwan;"14;37 (1)";24;5;8;1032600;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;8;;;;Defence;;;;;;
Line Kjaersfeldt;"12;-14 (2)";24;6;1;1032966;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"14;9 (1)";24;7;4;1032966;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Defence;;;;;;
Line Kjaersfeldt;"14;-56 (1)";24;8;9;1035100;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Attack;;;;;;
Phittayaporn Chaiwan;"15;34 (1)";24;9;8;1036833;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;8;;;;Defence;;;;;;
Line Kjaersfeldt;"15;2 (1)";24;10;4;1036833;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;NET;;;;Construccion;;Error Phittayaporn Chaiwan;;;;
Line Kjaersfeldt;Rest Time (24);24;;;1039433;20766;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (25);25;;;1060200;7766;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Line Kjaersfeldt;"-2;-25 (4)";25;1;7;1058200;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;Line Kjaersfeldt;Forehand short service;6;Construccion;;;;;;
Phittayaporn Chaiwan;"5;18 (2)";25;2;3;1059133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;Modificada;;
Line Kjaersfeldt;"-13;-56 (1)";25;3;12;1059133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"13;8 (2)";25;4;4;1059133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Line Kjaersfeldt;"13;-7 (1)";25;5;1;1059133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Defence;;;;;;
Phittayaporn Chaiwan;"13;6 (1)";25;6;4;1062700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Line Kjaersfeldt;"-14;-55 (6)";25;7;12;1062700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Attack;;;;;;
Phittayaporn Chaiwan;"-19;45 (1)";25;8;Out;1064700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;OUT SIDE;;;;Construccion;;Unforced Line Kjaersfeldt;;;;
Phittayaporn Chaiwan;Rest Time (25);25;;;1067966;20000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (26);26;;;1087966;8133;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"-2;25 (3)";26;1;6;1085966;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Phittayaporn Chaiwan;Backhand short service;2;Construccion;;;;;;
Line Kjaersfeldt;"5;-17 (2)";26;2;2;1087200;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;Finta;;
Phittayaporn Chaiwan;"13;54 (2)";26;3;12;1087200;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Construccion;;;;;;
Line Kjaersfeldt;"-3;-36 (1)";26;4;7;1087200;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;;;;Defence;;;;;;
Phittayaporn Chaiwan;"13;14 (1)";26;5;4;1088966;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Line Kjaersfeldt;"13;-7 (2)";26;6;1;1088966;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Defence;;;;;;
Phittayaporn Chaiwan;"15;55 (5)";26;7;12;1091300;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Attack;;;;;;
Line Kjaersfeldt;"14;-38 (3)";26;8;5;1092133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;5;;;;Defence;;;;;;
Phittayaporn Chaiwan;"4;2 (1)";26;9;3;1092700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;NET;;;;Construccion;;Error Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (26);26;;;1096100;26833;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (27);27;;;1122933;9433;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"2;25 (2)";27;1;7;1120933;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;Phittayaporn Chaiwan;Backhand short service;2;Construccion;;;;;;
Line Kjaersfeldt;"-5;-17 (2)";27;2;3;1122166;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"-14;54 (4)";27;3;9;1122166;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Attack;;;;;;
Line Kjaersfeldt;"-15;-39 (1)";27;4;8;1123066;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;8;;;;Defence;;;;;;
Phittayaporn Chaiwan;"-14;8 (1)";27;5;1;1123633;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Construccion;;;;;;
Line Kjaersfeldt;"-3;-6 (1)";27;6;3;1123633;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Defence;;;;;;
Phittayaporn Chaiwan;"10;54 (1)";27;7;12;1126133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Construccion;;;;;;
Line Kjaersfeldt;"-15;-16 (1)";27;8;4;1126133;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Defence;;;;;;
Phittayaporn Chaiwan;"-15;53 (1)";27;9;9;1127700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Construccion;;;;;;
Line Kjaersfeldt;"-14;-13 (2)";27;10;4;1127700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Defence;;;;;;
Phittayaporn Chaiwan;"-14;1 (2)";27;11;1;1129566;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;NET;;;;Construccion;;Error Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (27);27;;;1132366;22166;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (28);28;;;1154533;2300;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"-2;24 (1)";28;1;6;1152533;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Phittayaporn Chaiwan;Backhand short service;2;Construccion;;;;;;
Line Kjaersfeldt;"5;-18 (2)";28;2;2;1153566;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;Finta;;
Phittayaporn Chaiwan;"19;50 (1)";28;3;Out;1153566;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;OUT SIDE;;;;Construccion;;Unforced Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (28);28;;;1156833;14066;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (29);29;;;1170900;5166;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"2;24 (4)";29;1;7;1168900;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;Phittayaporn Chaiwan;Backhand short service;2;Construccion;;;;;;
Line Kjaersfeldt;"-5;-18 (2)";29;2;3;1169933;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;Finta;;
Phittayaporn Chaiwan;"15;54 (1)";29;3;12;1170200;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Attack;;;;;;
Line Kjaersfeldt;"13;-41 (1)";29;4;5;1171700;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;5;;;;Defence;;;;;;
Phittayaporn Chaiwan;"15;55 (6)";29;5;12;1171733;5000;DEN;THA;After;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Construccion;;;;;;
