Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;WR Player1;Tournament;Match;Round;WR Player2;Interval;Player2;#Rounds;Play R or L Player1;Country Player1;Country Player2;Rally Time;Play R or L Player2;Player1;Set;Field Position;Player on C1;Type of service;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Tipo de recepcion;Reves;Match Duration
Akane Yamaguchi;"-12;-53";2;10;12;661040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"-12;10";2;11;1;662160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
Akane Yamaguchi;"12;-55";2;12;9;663320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
An Se Young;"13;54";2;13;12;664640;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
Akane Yamaguchi;"12;1";2;14;4;665360;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;NET;;;Construccion;Unforced An Se Young;;;;;
Akane Yamaguchi;Rest Time (1);2;;;667360;16240;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
Akane Yamaguchi;Rally Time (2);3;;;683600;6240;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"3;-32";3;1;6;681600;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"-13;54";3;2;9;683680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-13;-55";3;3;12;684920;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"-14;54";3;4;9;686000;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-12;-54 (1)";3;5;12;687280;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-14;33";3;6;5;687840;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Construccion;Winner Akane Yamaguchi;;;;;
An Se Young;Rest Time (2);3;;;689840;13720;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (3);4;;;703560;3200;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"-2;-31";4;1;7;701560;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
