Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration 
Clara Azurmendi;Rally Time (23);23;;;880960;3000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-1;25 (3)";23;1;6;878960;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;2;Construccion;;;;;;
Pusharla V Shindu;"5;-19 (1)";23;2;2;880080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;;;
Clara Azurmendi;"13;7 (1)";23;3;4;880080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"20;-9 (1)";23;4;Out;880080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;OUT SIDE;;;;Construccion;;Unforced Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (23);23;;;883960;11040;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (24);24;;;895000;1200;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-2;-26 (2)";24;1;7;893000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Forehand short service;;Construccion;;;;;;
Clara Azurmendi;"7;1 (1)";24;2;4;893720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Unforced Pusarla V Shindu;;;;
Clara Azurmendi;Rest Time (24);24;;;896200;11160;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (25);25;;;907360;2800;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"2;26 (2)";25;1;7;905360;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand flick;10;Construccion;;;;;;
Pusharla V Shindu;"-11;-55 (2)";25;2;12;905760;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Clara Azurmendi;"-15;34 (1)";25;3;5;906520;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Pusharla V Shindu;"-13;-52 (1)";25;4;12;906960;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Clara Azurmendi;"-13;35 (1)";25;5;5;907720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;Winner Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (25);25;;;910160;15600;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (26);26;;;925760;3320;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"2;-24 (2)";26;1;6;923760;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;2;Construccion;;;;;;
Clara Azurmendi;"-3;17 (1)";26;2;2;924720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;Modificada;;
Pusharla V Shindu;"14;-7 (1)";26;3;1;924760;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"13;6 (1)";26;4;4;925840;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Attack;;;;;;
Pusharla V Shindu;"12;-41 (1)";26;5;5;926560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (26);26;;;929080;15320;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (27);27;;;944400;2640;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;25 (3)";27;1;6;942400;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;4;Construccion;;;;;;
Pusharla V Shindu;"14;-18 (1)";27;2;1;943440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Clara Azurmendi;"-14;55 (7)";27;3;9;943440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Attack;;;;;;
Pusharla V Shindu;"-15;-44 (1)";27;4;8;944240;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;8;;;;Construccion;;Winner Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (27);27;;;947040;11400;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (28);28;;;958440;5120;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"1;25 (1)";28;1;7;956440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand short service;8;Construccion;;;;;;
Pusharla V Shindu;"-14;-16 (1)";28;2;4;957600;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"-15;55 (1)";28;3;9;957600;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"14;-14 (1)";28;4;1;958560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Clara Azurmendi;"13;13 (1)";28;5;4;958560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"0;1 (1)";28;6;3;958560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Unforced Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (28);28;;;963560;15320;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (29);29;;;978880;11640;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-1;-24 (1)";29;1;7;976880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Forehand long service;10;Construccion;;;;;;
Clara Azurmendi;"10;55 (2)";29;2;12;978880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Construccion;;;;;;
Pusharla V Shindu;"11;-14 (1)";29;3;1;978880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"14;9 (1)";29;4;4;979880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"14;-54 (1)";29;5;9;979880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Clara Azurmendi;"-14;55 (8)";29;6;9;981560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Pusharla V Shindu;"-14;-54 (4)";29;7;12;982480;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Construccion;;;;;;
Clara Azurmendi;"-11;14 (1)";29;8;1;982480;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"12;-13 (1)";29;9;1;982480;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"-14;54 (3)";29;10;9;985640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Pusharla V Shindu;"13;-13 (1)";29;11;1;985640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"17;1 (1)";29;12;Out;987800;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Error Pusarla V Shindu;;;;
Clara Azurmendi;Rest Time (29);29;;;990520;20760;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (30);30;;;1011280;1960;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;25 (4)";30;1;6;1009280;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;5;Construccion;;;;;;
Pusharla V Shindu;"3;-17 (1)";30;2;2;1010400;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;;;
Clara Azurmendi;"18;19 (1)";30;3;Out;1010400;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;OUT SIDE;;;;Construccion;;Unforced Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (30);30;;;1013240;11680;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (31);31;;;1024920;5040;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"2;25 (6)";31;1;7;1022920;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand flick;9;Construccion;;;;;;
Pusharla V Shindu;"-4;-55 (1)";31;2;11;1023520;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;11;;;;Construccion;;;;;;
Clara Azurmendi;"-13;27 (1)";31;3;5;1023520;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;;;;;
Pusharla V Shindu;"-2;-13 (1)";31;4;3;1023520;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;3;;;;Construccion;;;;;;
Clara Azurmendi;"13;55 (2)";31;5;12;1023520;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Pusharla V Shindu;"16;-46 (1)";31;6;5;1027440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;Winner Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (31);31;;;1029960;20160;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (32);32;;;1050120;6120;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;25 (5)";32;1;6;1048120;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;5;Construccion;;;;;;
Pusharla V Shindu;"3;-17 (2)";32;2;2;1049240;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;;;
Clara Azurmendi;"14;55 (2)";32;3;12;1049240;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Defence;;;;;;
Pusharla V Shindu;"14;-54 (2)";32;4;9;1050040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Attack;;;;;;
Clara Azurmendi;"16;35 (1)";32;5;8;1051440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;8;;;;Defence;;;;;;
Pusharla V Shindu;"11;-7 (2)";32;6;1;1052040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Clara Azurmendi;"12;1 (1)";32;7;4;1052040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Unforced Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (32);32;;;1056240;16720;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (33);33;;;1072960;3680;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"2;25 (7)";33;1;7;1070960;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand short service;8;Construccion;;;;;;
Pusharla V Shindu;"-15;-17 (1)";33;2;4;1072040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"-14;35 (1)";33;3;5;1072040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;;;;;
Pusharla V Shindu;"14;-55 (3)";33;4;9;1072040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Attack;;;;;;
Clara Azurmendi;"15;47 (1)";33;5;8;1073880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;8;;;;Construccion;;Winner Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (33);33;;;1076640;19480;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (34);34;;;1096120;6920;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"2;-25 (4)";34;1;6;1094120;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;7;Construccion;;;;;;
Clara Azurmendi;"-10;19 (1)";34;2;1;1095040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;Finta;;
Pusharla V Shindu;"-15;-54 (1)";34;3;12;1095160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Defence;;;;;;
Clara Azurmendi;"-14;11 (1)";34;4;1;1096080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;-54 (5)";34;5;12;1096080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Clara Azurmendi;"-14;35 (2)";34;6;5;1098600;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Pusharla V Shindu;"-3;-14 (1)";34;7;3;1098600;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;3;;;;Construccion;;;;;;
Clara Azurmendi;"-19;50 (1)";34;8;Out;1098600;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;OUT SIDE;;;;Construccion;;Unforced Pusarla V Shindu;;;;
Clara Azurmendi;Rest Time (34);34;;;1103040;12440;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (35);35;;;1115480;5760;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;25 (6)";35;1;6;1113480;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand flick;10;Construccion;;;;;;
Pusharla V Shindu;"8;-54 (1)";35;2;9;1114720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-11;17 (1)";35;3;1;1114720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Pusharla V Shindu;"-3;-14 (2)";35;4;3;1115440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;3;;;;Construccion;;;;;;
Clara Azurmendi;"-14;56 (2)";35;5;9;1115440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"4;-56 (1)";35;6;10;1117640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;10;;;;Attack;;;;;;
Clara Azurmendi;"-15;41 (1)";35;7;5;1118560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;Winner Pusarla V Shindu;;;;
