Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Match Duration;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Game Phase;Barrido Fuerte;Reves;Tipo de recepcion 
Mutiara Ayu Puspitasar;Rally Time (33);33;;;654166;6000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"2;26 (1)";33;1;7;652166;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Mutiara Ayu Puspitasar;Backhand short service;3;;;Construccion;;;
Fitriani Fitriani;"-8;-18 (2)";33;2;4;653100;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Construccion;;;Finta
Mutiara Ayu Puspitasar;"-12;54 (1)";33;3;9;653666;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Defence;;Reves;
Fitriani Fitriani;"-13;-14 (1)";33;4;4;654133;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;54 (3)";33;5;9;655666;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Defence;;Reves;
Fitriani Fitriani;"8;-53 (1)";33;6;9;655666;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Attack;;;
Mutiara Ayu Puspitasar;"10;45 (1)";33;7;8;657433;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;8;;;;Winner Fitriani Fitriani;;Construccion;;;
Fitriani Fitriani;Rest Time (33);33;;;660166;16800;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (34);34;;;676966;6166;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"-2;-25 (3)";34;1;7;674966;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Fitriani Fitriani;Forehand long service;11;;;Construccion;;;
Mutiara Ayu Puspitasar;"15;56 (3)";34;2;12;677466;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Fitriani Fitriani;"14;-40 (1)";34;3;5;677466;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"14;56 (3)";34;4;12;678133;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Defence;;;
Fitriani Fitriani;"13;-14 (1)";34;5;1;679333;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"15;1 (2)";34;6;4;680333;4000;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;NET;;;;Unforced Fitriani Fitriani;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (34);34;;;683133;4666;5;INA;INA;After;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (35);1;;;687800;6200;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"-2;-23 (1)";1;1;7;685800;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;7;Mutiara Ayu Puspitasar;Backhand short service;3;;;Construccion;;;
Fitriani Fitriani;"10;19 (1)";1;2;4;686700;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;4;;;;;;Construccion;;;Finta
Mutiara Ayu Puspitasar;"15;-54 (1)";1;3;9;686733;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Defence;;Reves;
Fitriani Fitriani;"3;54 (1)";1;4;11;687700;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;11;;;;;;Attack;;;
Mutiara Ayu Puspitasar;"-14;-40 (2)";1;5;8;689133;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;8;;;;;;Defence;;;
Fitriani Fitriani;"-14;5 (2)";1;6;1;689766;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;NET;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"4;-53 (1)";1;7;10;689766;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;10;;;;;;Attack;;;
Fitriani Fitriani;"14;42 (1)";1;8;8;691266;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;8;;;;Winner Mutiara Ayu Puspitasar;;Construccion;;;
Fitriani Fitriani;Rest Time (35);1;;;694000;16733;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (36);2;;;710733;9700;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"2;-24 (3)";2;1;6;708733;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;6;Mutiara Ayu Puspitasar;Backhand short service;6;;;Construccion;;;
Fitriani Fitriani;"-5;20 (1)";2;2;6;709666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;2;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-15;-54 (1)";2;3;12;709666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Defence;;;
Fitriani Fitriani;"-14;56 (2)";2;4;9;710466;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"13;-55 (2)";2;5;9;710466;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Defence;;;
Fitriani Fitriani;"13;26 (1)";2;6;8;713500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;8;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"12;-14 (2)";2;7;1;713500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Defence;;;
Fitriani Fitriani;"14;59 (1)";2;8;12;714733;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-15;-54 (2)";2;9;12;714733;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Fitriani Fitriani;"-10;40 (1)";2;10;5;717100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-3;1 (1)";2;11;2;717500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;NET;;;;Unforced Fitriani Fitriani;;Construccion;;;
Fitriani Fitriani;Rest Time (36);2;;;720433;26733;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (37);3;;;747166;6333;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"-2;-25 (4)";3;1;7;745166;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;7;Mutiara Ayu Puspitasar;Backhand short service;7;;;Construccion;;;
Fitriani Fitriani;"9;20 (1)";3;2;8;745966;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;4;;;;;;Construccion;;;Finta
Mutiara Ayu Puspitasar;"13;-13 (1)";3;3;1;746466;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Defence;;;
Fitriani Fitriani;"14;54 (3)";3;4;12;747100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"13;-54 (5)";3;5;9;748400;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Fitriani Fitriani;"10;53 (1)";3;6;12;748400;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Mutiara Ayu Puspitasar;"-15;-40 (1)";3;7;8;750700;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;8;;;;Winner Fitriani Fitriani;;Construccion;;;
Fitriani Fitriani;Rest Time (37);3;;;753500;7866;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (38);4;;;761366;3200;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"-1;25 (2)";4;1;6;759366;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;6;Fitriani Fitriani;Forehand long service;11;;;Construccion;;;
Mutiara Ayu Puspitasar;"14;-53 (1)";4;2;9;761800;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Attack;;;
Fitriani Fitriani;"-19;36 (1)";4;3;Out;762266;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;OUT SIDE;;;;Unforced Mutiara Ayu Puspitasar;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (38);4;;;764566;12033;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (39);5;;;776600;9766;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"2;25 (7)";5;1;7;774600;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;7;Fitriani Fitriani;Forehand long service;10;;;Construccion;;;
Mutiara Ayu Puspitasar;"-9;-53 (2)";5;2;12;777033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Fitriani Fitriani;"4;37 (1)";5;3;7;777600;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;7;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-11;-15 (1)";5;4;4;777633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;4;;;;;;Construccion;;;
Fitriani Fitriani;"-14;11 (1)";5;5;1;777633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-14;-55 (4)";5;6;12;779633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Fitriani Fitriani;"-14;13 (1)";5;7;1;779633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"11;-55 (2)";5;8;9;779633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Attack;;;
Fitriani Fitriani;"20;47 (1)";5;9;Out;784100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;OUT SIDE;;;;Error Mutiara Ayu Puspitasar;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (39);5;;;786366;0;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;Unforced Mutiara Ayu Puspitasar;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (40);6;;;800900;7400;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"-2;25 (4)";6;1;6;798900;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;6;Fitriani Fitriani;Forehand long service;10;;;Construccion;;;
Mutiara Ayu Puspitasar;"9;-54 (2)";6;2;9;801433;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Fitriani Fitriani;"14;54 (4)";6;3;12;801433;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"13;-16 (2)";6;4;1;802300;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Fitriani Fitriani;"-10;9 (1)";6;5;1;802300;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"14;-60 (1)";6;6;9;804266;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;OUT LENGTH;;;;Error Fitriani Fitriani;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (40);6;;;808300;8266;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (41);7;;;816566;7966;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"2;-24 (4)";7;1;6;814566;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;6;Mutiara Ayu Puspitasar;Forehand long service;9;;;Construccion;;;
Fitriani Fitriani;"-3;54 (1)";7;2;10;816966;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;10;;;;;;Attack;;;
Mutiara Ayu Puspitasar;"-14;-37 (2)";7;3;8;817533;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;8;;;;;;Defence;;;
Fitriani Fitriani;"-15;12 (1)";7;4;1;817533;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-15;-13 (1)";7;5;4;817533;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;4;;;;;;Defence;;;
Fitriani Fitriani;"-14;55 (6)";7;6;9;819500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"19;-50 (1)";7;7;Out;819500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;OUT SIDE;;;;Unforced Fitriani Fitriani;;Construccion;;;
Fitriani Fitriani;Rest Time (41);7;;;824533;15566;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (42);8;;;840100;3400;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"-1;-25 (2)";8;1;7;838100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;7;Mutiara Ayu Puspitasar;Forehand long service;10;;;Construccion;;;
Fitriani Fitriani;"9;55 (1)";8;2;12;840466;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;-17 (1)";8;3;4;840466;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;4;;;;Winner Fitriani Fitriani;;Construccion;;;
Fitriani Fitriani;Rest Time (42);8;;;843500;13066;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;2;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (43);9;;;856566;3766;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"2;25 (8)";9;1;7;854566;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;7;Fitriani Fitriani;Forehand long service;11;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;-55 (5)";9;2;12;857066;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;2;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
