Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
?;Rest Time (3);3;;;345520;11560;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;;1;1;Indonesia Master 2021;84;69;;;;;;;Rest Time;;;;
?;Rally Time (4);4;;;357080;8400;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;;;;;;;;;;;
Maria Ulitina;"3;25 (1)";4;1;7;355080;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;7;Maria Ulitina;Forehand long service;9;Construccion;;;;;;
Leonice Huet;"-5;-55 (1)";4;2;11;357120;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;11;;;;Construccion;;;;;;
Maria Ulitina;"13;16 (1)";4;3;4;357120;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;4;;;;Defence;;;;;;
Leonice Huet;"-3;-55 (1)";4;4;11;357960;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;11;;;;Defence;;;;;;
Maria Ulitina;"14;55 (1)";4;5;12;359080;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Defence;;;;;;
Leonice Huet;"-13;-56 (1)";4;6;12;360200;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Defence;;;;;;
Maria Ulitina;"11;56 (1)";4;7;12;362560;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Defence;;;;;;
Leonice Huet;"9;1 (1)";4;8;4;362600;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;NET;;;;Construccion;Error Maria Ulitina;;;;;
Leonice Huet;Rest Time (4);4;;;365480;14600;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;;1;1;Indonesia Master 2021;84;69;;;;;;;Rest Time;;;;
Leonice Huet;Rally Time (5);5;;;380080;8000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;;;;;;;;;;;
Leonice Huet;"-2;-25 (1)";5;1;7;378080;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;7;Leonice Huet;Forehand long service;11;Construccion;;;;;;
Maria Ulitina;"15;55 (1)";5;2;12;380000;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Construccion;;;;;;
Leonice Huet;"-15;-24 (1)";5;3;8;380000;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;8;;;;Defence;;;;;;
Maria Ulitina;"-13;37 (1)";5;4;5;380760;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;5;;;;Construccion;;;;;;
Leonice Huet;"12;-15 (1)";5;5;1;380760;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;1;;;;Defence;;;;;;
Maria Ulitina;"14;54 (2)";5;6;12;382440;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Defence;;;;;;
Leonice Huet;"14;-56 (1)";5;7;9;383520;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;9;;;;Defence;;;;;;
Maria Ulitina;"-13;54 (1)";5;8;9;384480;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;9;;;;Attack;;;;;;
