Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Reves;Tipo de recepcion;Barrido Fuerte;Match Duration
Maria Ulitina;"2;-24 (1)";4;1;6;370200;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Maria Ulitina;Backhand short service;1;Construccion;;;;;;
Marie Batomene;"-4;17 (1)";4;2;2;371480;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;;;
Maria Ulitina;"15;-56 (1)";4;3;9;371600;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Construccion;Winner Marie Batomene;;;;;
Marie Batomene;Rest Time (4);4;;;375400;12880;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (5);5;;;388280;2360;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;25 (2)";5;1;6;386280;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand flick;9;Construccion;;;;;;
Maria Ulitina;"4;-56 (1)";5;2;10;387480;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;10;;;;Construccion;;;;;;
Marie Batomene;"-10;1 (1)";5;3;1;387480;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (5);5;;;390640;11080;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (6);6;;;401720;2080;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;24 (2)";6;1;7;399720;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand flick;11;Construccion;;;;;;
Maria Ulitina;"-22;-55 (1)";6;2;Out;400480;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT SIDE;;;;Construccion;Unforced Marie Batomene;;;;;
Maria Ulitina;Rest Time (6);6;;;403800;10240;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (7);7;;;414040;5480;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"-2;-24 (1)";7;1;7;412040;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Maria Ulitina;Backhand short service;1;Construccion;;;;;;
Marie Batomene;"3;15 (1)";7;2;3;413280;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;Finta;;
Maria Ulitina;"-12;-16 (1)";7;3;4;413360;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Defence;;;;;;
Marie Batomene;"-14;6 (1)";7;4;1;414440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;;;
Maria Ulitina;"-13;-9 (1)";7;5;4;414440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Defence;;;;;;
Marie Batomene;"20;7 (1)";7;6;Out;416240;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT SIDE;;;;Construccion;Error Maria Ulitina;;;;;
Marie Batomene;Rest Time (7);7;;;419520;14320;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (8);8;;;433840;3640;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;25 (3)";8;1;6;431840;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;3;Construccion;;;;;;
Maria Ulitina;"10;-18 (1)";8;2;1;432840;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;Finta;;
Marie Batomene;"12;56 (1)";8;3;12;432880;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Defence;;;;;F;
Maria Ulitina;"-4;-37 (1)";8;4;7;433920;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;;;;Attack;;;;;;
Marie Batomene;"-15;35 (1)";8;5;5;434280;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;5;;;;Defence;;;;;;
Maria Ulitina;"-12;1 (1)";8;6;1;434760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Error Marie Batomene;;;;;
Maria Ulitina;Rest Time (8);8;;;437480;10800;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (9);9;;;449280;3480;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"2;-25 (1)";9;1;6;447280;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Maria Ulitina;Backhand short service;2;Construccion;;;;;;
Marie Batomene;"-4;17 (2)";9;2;2;448400;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;;;
Maria Ulitina;"-14;-54 (1)";9;3;12;448400;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Defence;;;;;;
Marie Batomene;"-13;2 (1)";9;4;1;449480;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Error Maria Ulitina;;;;;
Marie Batomene;Rest Time (9);9;;;452760;12760;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (10);10;;;465520;1960;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;26 (1)";10;1;7;463520;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;5;Construccion;;;;;;
Maria Ulitina;"-4;-17 (2)";10;2;3;464440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Marie Batomene;"-10;1 (2)";10;3;1;464440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (10);10;;;467480;16280;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (11);11;;;483760;3680;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;25 (4)";11;1;6;481760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;8;Construccion;;;;;;
Maria Ulitina;"13;-19 (1)";11;2;1;482920;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;;;
Marie Batomene;"-14;55 (1)";11;3;9;482920;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Maria Ulitina;"15;-17 (1)";11;4;1;508600;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;1;;;;Construccion;Winner Marie Batomene;;;;;
Maria Ulitina;Rest Time (11);11;;;487200;28800;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (12);12;;;516000;2200;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;24 (3)";12;1;7;514000;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;6;Construccion;;;;;;
Maria Ulitina;"-4;-17 (3)";12;2;3;514640;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Attack;;;;;;
Marie Batomene;"-2;35 (1)";12;3;6;515000;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;;;;Defence;;;;;;
Maria Ulitina;"-13;2 (2)";12;4;1;515360;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Error Marie Batomene;;;;;
Maria Ulitina;Rest Time (12);12;;;518200;13320;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (13);13;;;531520;4080;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"-2;-24 (2)";13;1;7;529520;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Maria Ulitina;Backhand short service;6;Construccion;;;;;;
Marie Batomene;"4;20 (1)";13;2;7;530800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;Finta;;
Maria Ulitina;"-14;-55 (1)";13;3;12;530760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Defence;;;;;;
Marie Batomene;"-15;54 (1)";13;4;9;531840;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Maria Ulitina;"3;1 (1)";13;5;3;532640;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Error Marie Batomene;;;;;
Marie Batomene;Rest Time (13);13;;;535600;10840;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (14);14;;;546440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"2;-24 (2)";14;1;6;544440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Maria Ulitina;Backhand short service;5;Construccion;;;;;;
