Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Reves;Tipo de recepcion;Barrido Fuerte;Match Duration
Maria Ulitina;"14;-54 (1)";16;3;9;578440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Marie Batomene;"12;13 (1)";16;4;4;579320;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Defence;;;;;;
Maria Ulitina;"-3;-7 (1)";16;5;3;580560;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Marie Batomene;"-3;7 (1)";16;6;2;580560;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Defence;;;;;;
Maria Ulitina;"-10;-55 (1)";16;7;12;582120;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Construccion;;;;;;
Marie Batomene;"-14;54 (1)";16;8;9;582120;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Construccion;;;;;;
Maria Ulitina;"14;-17 (2)";16;9;1;582120;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Defence;;;;;;
Marie Batomene;"13;10 (1)";16;10;4;586560;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Construccion;;;;;;
Maria Ulitina;"-14;-56 (1)";16;11;12;586560;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Construccion;Winner Marie Batomene;;;;;
Marie Batomene;Rest Time (16);16;;;590920;22600;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (17);17;;;613520;4520;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;25 (2)";17;1;7;611520;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;6;Construccion;;;;;;
Maria Ulitina;"-4;-19 (1)";17;2;3;612680;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;Finta;;
Marie Batomene;"4;53 (1)";17;3;11;612680;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;11;;;;Attack;;;;;;
Maria Ulitina;"-4;-39 (1)";17;4;7;613280;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;;;;Defence;;;;;;
Marie Batomene;"3;14 (1)";17;5;3;613760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Maria Ulitina;"-10;-61 (1)";17;6;12;613760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT LENGTH;;;;Construccion;Unforced Marie Batomene;;;;;
Maria Ulitina;Rest Time (17);17;;;618040;11640;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (18);18;;;629680;2960;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"2;-25 (2)";18;1;6;627680;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Maria Ulitina;Backhand short service;5;Construccion;;;;;;
Marie Batomene;"-4;15 (1)";18;2;2;629040;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;;;
Maria Ulitina;"-12;-15 (1)";18;3;4;629040;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Defence;;;;;;
Marie Batomene;"-1;1 (1)";18;4;2;629800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Error Maria Ulitina;;;;;
Marie Batomene;Rest Time (18);18;;;632640;67240;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (19);19;;;699880;1960;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;24 (1)";19;1;6;697880;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;3;Construccion;;;;;;
Maria Ulitina;"9;-18 (1)";19;2;1;699000;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;Modificada;;
Marie Batomene;"10;1 (1)";19;3;4;699000;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (19);19;;;701840;16520;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (20);20;;;718360;1920;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;24 (4)";20;1;7;716360;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;5;Construccion;;;;;;
Maria Ulitina;"-4;-17 (4)";20;2;3;717240;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Marie Batomene;"-10;1 (3)";20;3;1;717240;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (20);20;;;720280;11280;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (21);21;;;731560;5440;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;24 (2)";21;1;6;729560;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;7;Construccion;;;;;;
Maria Ulitina;"9;-19 (1)";21;2;1;730560;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;Modificada;;
Marie Batomene;"15;55 (1)";21;3;12;730600;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Construccion;;;;;;
Maria Ulitina;"-13;-15 (1)";21;4;4;730600;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Defence;;;;;;
Marie Batomene;"-14;54 (2)";21;5;9;732720;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Maria Ulitina;"-14;-61 (1)";21;6;12;733480;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT LENGTH;;;;Construccion;Error Marie Batomene;;;;;
Maria Ulitina;Rest Time (21);21;;;737000;13920;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (22);22;;;750920;8720;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"-2;-27 (1)";22;1;7;748920;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Maria Ulitina;Backhand flick;10;Construccion;;;;;;
Marie Batomene;"10;55 (1)";22;2;12;750120;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Construccion;;;;;;
Maria Ulitina;"-15;-27 (1)";22;3;8;750120;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;8;;;;Defence;;;;;;
Marie Batomene;"-13;35 (1)";22;4;5;751080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;5;;;;Construccion;;;;;;
Maria Ulitina;"4;-16 (1)";22;5;2;751080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;;;
Marie Batomene;"3;11 (1)";22;6;3;751080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Defence;;;;;;
Maria Ulitina;"10;-54 (1)";22;7;9;753320;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Attack;;;;;;
Marie Batomene;"2;35 (1)";22;8;7;754560;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;;;;Defence;;;;;;
Maria Ulitina;"-10;-36 (1)";22;9;8;755040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;8;;;;Construccion;;;;;;
Marie Batomene;"12;36 (1)";22;10;8;755040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;8;;;;Defence;;;;;;
Maria Ulitina;"10;2 (1)";22;11;4;756640;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Error Marie Batomene;;;;;
Marie Batomene;Rest Time (22);22;;;759640;14240;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (23);23;;;773880;3920;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"2;-26 (1)";23;1;6;771880;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Maria Ulitina;Backhand short service;6;Construccion;;;;;;
Marie Batomene;"-5;15 (1)";23;2;2;772840;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;Finta;;
Maria Ulitina;"12;-55 (1)";23;3;9;773040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Marie Batomene;"3;54 (1)";23;4;11;774040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;11;;;;Attack;;;;;;
Maria Ulitina;"-5;2 (1)";23;5;2;775160;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Marie Batomene;;;;;
Marie Batomene;Rest Time (23);23;;;777800;14480;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (24);24;;;792280;1240;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"-2;-25 (2)";24;1;7;790280;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Maria Ulitina;Backhand short service;7;Construccion;;;;;;
Marie Batomene;"7;1 (1)";24;2;4;791520;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Maria Ulitina;;;;;
Marie Batomene;Rest Time (24);24;;;793520;14520;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (25);25;;;808040;7480;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;25 (3)";25;1;7;806040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;5;Construccion;;;;;;
Maria Ulitina;"-4;-16 (1)";25;2;3;807120;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Marie Batomene;"-14;55 (3)";25;3;9;807120;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Maria Ulitina;"-9;-15 (1)";25;4;4;808440;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Construccion;;;;;;
Marie Batomene;"-4;12 (1)";25;5;2;808440;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;;;
Maria Ulitina;"13;-18 (1)";25;6;1;808440;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Defence;;;;;;
Marie Batomene;"13;7 (1)";25;7;4;811400;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Construccion;;;;;;
Maria Ulitina;"-12;-15 (2)";25;8;4;811400;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Construccion;Winner Marie Batomene;;;;;
Maria Ulitina;Rest Time (25);25;;;815520;15720;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (26);26;;;831240;2920;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;25 (5)";26;1;6;829240;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;7;Construccion;;;;;;
Maria Ulitina;"8;-18 (1)";26;2;1;830320;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;Modificada;;
Marie Batomene;"15;61 (1)";26;3;12;830360;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT LENGTH;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (26);26;;;834160;11360;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (27);27;;;845520;6520;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;24 (5)";27;1;7;843520;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;5;Construccion;;;;;;
Maria Ulitina;"-4;-17 (5)";27;2;3;844160;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Marie Batomene;"-11;10 (1)";27;3;1;844160;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;;;
Maria Ulitina;"14;-55 (1)";27;4;9;844160;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Marie Batomene;"3;53 (1)";27;5;11;846080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;11;;;;Construccion;;;;;;
Maria Ulitina;"15;-31 (1)";27;6;5;846080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;5;;;;Defence;;;;;;
Marie Batomene;"13;11 (1)";27;7;4;847960;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Construccion;;;;;;
Maria Ulitina;"-15;-54 (1)";27;8;12;847960;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Construccion;Winner Marie Batomene;;;;;
Maria Ulitina;Rest Time (27);27;;;852040;17040;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (28);28;;;869080;3640;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;25 (6)";28;1;6;867080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;8;Construccion;;;;;;
Maria Ulitina;"13;-17 (1)";28;2;1;867920;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;;;
Marie Batomene;"-12;11 (1)";28;3;1;867920;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;;;
Maria Ulitina;"12;-56 (1)";28;4;9;867920;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Construccion;Winner Marie Batomene;;;;;
Maria Ulitina;Rest Time (28);28;;;872720;19560;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (29);29;;;892280;1920;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;25 (4)";29;1;7;890280;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;6;Construccion;;;;;;
Maria Ulitina;"-5;-18 (1)";29;2;3;891360;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Marie Batomene;"-10;1 (4)";29;3;1;891360;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;NET;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (29);29;;;894200;15920;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (30);30;;;910120;8720;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-1;25 (1)";30;1;6;908120;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;7;Construccion;;;;;;
Maria Ulitina;"10;-18 (2)";30;2;1;909040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;Finta;;
Marie Batomene;"13;56 (1)";30;3;12;909080;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Defence;;;;;F;
Maria Ulitina;"-13;-35 (1)";30;4;8;910520;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;8;;;;Attack;;;;;;
Marie Batomene;"-14;37 (1)";30;5;5;911040;4000;5;UKR;FRA;After;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;5;;;;Defence;;;;;;
