Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Reves;Rally Outcome;Rest Time;Tipo de recepcion;Barrido Fuerte;Match Duration
Clara Azurmendi;"-2;-25 (1)";12;1;7;500720;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Clara Azurmendi;Backhand short service;6;Construccion;;;;;;
Fitriani Fitriani;"5;19 (1)";12;2;3;501760;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;3;;;;Construccion;;;;;;
Clara Azurmendi;"13;-61 (1)";12;3;9;501760;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;OUT LENGTH;;;;Construccion;;Unforced Fitriani Fitriani;;;;
Fitriani Fitriani;Rest Time (12);12;;;505400;12560;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (13);13;;;517960;6760;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"1;-24 (1)";13;1;6;515960;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Clara Azurmendi;Backhand short service;5;Construccion;;;;;;
Fitriani Fitriani;"-3;16 (1)";13;2;2;517080;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;2;;;;Construccion;;;;;;
Clara Azurmendi;"-13;-6 (1)";13;3;4;517080;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;4;;;;Defence;;;;;;
Fitriani Fitriani;"-10;54 (2)";13;4;9;518680;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"13;-55 (2)";13;5;9;518680;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Defence;Reves;;;;;
Fitriani Fitriani;"9;9 (1)";13;6;4;521000;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;4;;;;Construccion;;;;;;
Clara Azurmendi;"-4;1 (1)";13;7;2;521000;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;NET;;;;Construccion;;Unforced Fitriani Fitriani;;;;
Fitriani Fitriani;Rest Time (13);13;;;524720;13960;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (14);14;;;538680;3280;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"-2;-24 (2)";14;1;7;536680;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Clara Azurmendi;Backhand flick;9;Construccion;;;;;;
Fitriani Fitriani;"4;56 (1)";14;2;11;537720;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;11;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-55 (2)";14;3;12;537720;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Fitriani Fitriani;"-14;18 (1)";14;4;1;537720;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;Winner Clara Azurmendi;;;;
Fitriani Fitriani;Rest Time (14);14;;;541960;73280;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (15);15;;;615240;6360;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"2;-25 (2)";15;1;6;613240;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Clara Azurmendi;Backhand flick;10;Construccion;;;;;;
Fitriani Fitriani;"-8;53 (1)";15;2;9;614520;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"11;-15 (1)";15;3;1;614520;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;;;
Fitriani Fitriani;"5;7 (1)";15;4;3;614520;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;3;;;;Defence;;;;;;
Clara Azurmendi;"12;-55 (2)";15;5;9;616920;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Fitriani Fitriani;"20;52 (1)";15;6;Out;616920;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;OUT SIDE;;;;Construccion;;Unforced Clara Azurmendi;;;;
Fitriani Fitriani;Rest Time (15);15;;;621600;9440;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (16);16;;;631040;8440;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Fitriani Fitriani;"2;25 (1)";16;1;7;629040;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Fitriani Fitriani;Forehand long service;9;Construccion;;;;;;
Clara Azurmendi;"-3;-55 (1)";16;2;11;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;11;;;;Construccion;;;;;;
Fitriani Fitriani;"12;28 (1)";16;3;8;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;8;;;;Construccion;;;;;;
Clara Azurmendi;"13;-14 (1)";16;4;1;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;;;
Fitriani Fitriani;"-14;56 (1)";16;5;9;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-55 (3)";16;6;12;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Fitriani Fitriani;"-14;55 (2)";16;7;9;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"19;-26 (1)";16;8;Out;631280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;OUT SIDE;;;;Construccion;;Unforced Fitriani Fitriani;;;;
Clara Azurmendi;Rest Time (16);16;;;639480;20160;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (17);17;;;659640;4720;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"-2;-26 (2)";17;1;7;657640;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Clara Azurmendi;Backhand short service;2;Construccion;;;;;;
Fitriani Fitriani;"8;17 (1)";17;2;4;658720;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;4;;;;Construccion;;;;Modificada/Finta;;
Clara Azurmendi;"13;-56 (1)";17;3;9;658760;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Defence;Reves;;;;F;
Fitriani Fitriani;"11;30 (1)";17;4;8;660080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;8;;;;Construccion;;;;;;
Clara Azurmendi;"23;-56 (1)";17;5;Out;660080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;OUT SIDE;;;;Construccion;;Unforced Fitriani Fitriani;;;;
Fitriani Fitriani;Rest Time (17);17;;;664360;12440;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (18);18;;;676800;5440;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"2;-25 (3)";18;1;6;674800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Clara Azurmendi;Backhand short service;8;Construccion;;;;;;
Fitriani Fitriani;"-14;16 (1)";18;2;1;676080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;Finta;;
Clara Azurmendi;"14;-56 (1)";18;3;9;676080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Fitriani Fitriani;"14;56 (2)";18;4;12;676080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Clara Azurmendi;"16;-56 (1)";18;5;9;676080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;Winner Fitriani Fitriani;;;;
Fitriani Fitriani;Rest Time (18);18;;;682240;12240;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (19);19;;;694480;3040;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Fitriani Fitriani;"-2;24 (1)";19;1;6;692480;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Fitriani Fitriani;Forehand long service;11;Construccion;;;;;;
Clara Azurmendi;"14;-55 (4)";19;2;9;694840;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Attack;;;;;;
Fitriani Fitriani;"16;39 (1)";19;3;8;695480;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;8;;;;Construccion;;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (19);19;;;697520;13160;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (20);20;;;710680;13720;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"-2;-25 (2)";20;1;7;708680;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Clara Azurmendi;Backhand flick;11;Construccion;;;;;;
Fitriani Fitriani;"15;56 (1)";20;2;12;709800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Clara Azurmendi;"12;-17 (1)";20;3;1;709800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;;;
Fitriani Fitriani;"-15;55 (2)";20;4;9;709800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"-13;-56 (1)";20;5;12;709800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Fitriani Fitriani;"12;55 (1)";20;6;12;709800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Defence;;;;;;
Clara Azurmendi;"14;-55 (5)";20;7;9;714000;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Fitriani Fitriani;"-14;56 (2)";20;8;9;714000;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"14;-55 (6)";20;9;9;714000;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Defence;;;;;;
Fitriani Fitriani;"14;11 (1)";20;10;4;717120;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;4;;;;Construccion;;;;;;
Clara Azurmendi;"15;-7 (1)";20;11;1;717120;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Defence;;;;;;
Fitriani Fitriani;"-4;8 (1)";20;12;2;719280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;2;;;;Construccion;;;;;;
Clara Azurmendi;"14;-54 (2)";20;13;9;719280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Fitriani Fitriani;"-19;18 (1)";20;14;Out;719280;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;OUT SIDE;;;;Construccion;;Unforced Clara Azurmendi;;;;
Fitriani Fitriani;Rest Time (20);20;;;724400;17600;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (21);21;;;742000;6960;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Fitriani Fitriani;"2;25 (2)";21;1;7;740000;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Fitriani Fitriani;Forehand long service;9;Construccion;;;;;;
Clara Azurmendi;"-5;-55 (1)";21;2;11;742520;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;11;;;;Construccion;;;;;;
Fitriani Fitriani;"12;32 (1)";21;3;8;742520;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;8;;;;Defence;;;;;;
Clara Azurmendi;"13;-55 (3)";21;4;9;743080;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Defence;Reves;;;;;
Fitriani Fitriani;"-13;54 (1)";21;5;9;743800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"13;-56 (2)";21;6;9;743800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Fitriani Fitriani;"-3;1 (2)";21;7;2;743800;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;NET;;;;Construccion;;Unforced Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (21);21;;;748960;14920;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (22);22;;;763880;6600;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Fitriani Fitriani;"-2;25 (2)";22;1;6;761880;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Fitriani Fitriani;Forehand long service;10;Construccion;;;;;;
Clara Azurmendi;"11;-56 (1)";22;2;9;764360;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Fitriani Fitriani;"16;27 (1)";22;3;8;764360;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;8;;;;Construccion;;;;;;
Clara Azurmendi;"15;-17 (1)";22;4;1;764360;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;;;
Fitriani Fitriani;"14;55 (2)";22;5;12;764360;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Clara Azurmendi;"15;-16 (1)";22;6;1;764360;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;Winner Fitriani Fitriani;;;;
Clara Azurmendi;Rest Time (22);22;;;770480;16280;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (23);23;;;786760;4080;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Fitriani Fitriani;"2;25 (3)";23;1;7;784760;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Fitriani Fitriani;Forehand long service;10;Construccion;;;;;;
Clara Azurmendi;"-9;-54 (1)";23;2;12;787320;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Fitriani Fitriani;"-4;36 (1)";23;3;6;787320;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;;;;Defence;;;;;;
Clara Azurmendi;"15;-14 (1)";23;4;1;787880;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;Winner Fitriani Fitriani;;;;
Clara Azurmendi;Rest Time (23);23;;;790840;26800;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (24);24;;;817640;4080;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Fitriani Fitriani;"-2;24 (2)";24;1;6;815640;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Fitriani Fitriani;Forehand long service;11;Construccion;;;;;;
Clara Azurmendi;"14;-55 (7)";24;2;9;818240;5000;5;ESP;INA;After;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
