Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Pai Yu Po;"13;55 (1)";3;7;12;565760;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"13;-55 (1)";3;8;9;565760;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Defence;;;;;;
Pai Yu Po;"14;54 (1)";3;9;12;572440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"-14;-16 (1)";3;10;4;572440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;4;;;;Construccion;;;;;;
Pai Yu Po;"-14;14 (1)";3;11;1;572440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;1;;;;Defence;;;;;;
Evgeniya Kosetskaya;"-4;-54 (1)";3;12;11;575280;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;11;;;;Attack;;;;;;
Pai Yu Po;"-3;46 (1)";3;13;6;576280;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;6;;;;Construccion;Winner Evgeniya Kosetskaya;;;;;
Evgeniya Kosetskaya;Rest Time (3);3;;;579120;10720;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
Evgeniya Kosetskaya;Rally Time (4);4;;;589840;12240;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Evgeniya Kosetskaya;"-2;-24 (1)";4;1;7;587840;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;7;Evgeniya Kosetskaya;Forehand long service;10;Construccion;;;;;;
Pai Yu Po;"10;54 (1)";4;2;12;590040;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"-13;-17 (1)";4;3;4;590040;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;4;;;;Construccion;;;;;;
Pai Yu Po;"13;55 (2)";4;4;12;590040;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Defence;;;;;;
Evgeniya Kosetskaya;"5;-17 (1)";4;5;2;591880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;2;;;;Construccion;;;;;;
Pai Yu Po;"-3;13 (1)";4;6;2;591880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;2;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"15;-56 (1)";4;7;9;591880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Construccion;;;;;;
Pai Yu Po;"-13;56 (1)";4;8;9;591880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"-14;-39 (2)";4;9;8;591880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;8;;;;Defence;;;;;;
Pai Yu Po;"13;55 (3)";4;10;12;597160;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Defence;;;;;;
Evgeniya Kosetskaya;"14;-6 (1)";4;11;1;598200;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;1;;;;Construccion;;;;;;
Pai Yu Po;"13;1 (1)";4;12;4;598200;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;NET;;;;Construccion;Unforced Evgeniya Kosetskaya;;;;;
Pai Yu Po;Rest Time (4);4;;;602080;24160;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
Pai Yu Po;Rally Time (5);5;;;626240;7880;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Pai Yu Po;"2;25 (2)";5;1;7;624240;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;7;Pai Yu Po;Forehand long service;9;Construccion;;;;;;
Evgeniya Kosetskaya;"-4;-55 (1)";5;2;11;626440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;11;;;;Construccion;;;;;;
Pai Yu Po;"5;35 (1)";5;3;7;626440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;7;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"-12;-39 (1)";5;4;8;626440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;8;;;;Construccion;;;;;;
Pai Yu Po;"13;18 (1)";5;5;4;626440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;4;;;;Defence;;;;;;
Evgeniya Kosetskaya;"13;-15 (1)";5;6;1;628400;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;1;;;;Construccion;;;;;;
Pai Yu Po;"-14;56 (1)";5;7;9;628400;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Defence;;;;Reves;;
Evgeniya Kosetskaya;"-13;-53 (1)";5;8;12;630600;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Attack;;;;;;
Pai Yu Po;"15;42 (1)";5;9;8;631440;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;8;;;;Construccion;Winner Evgeniya Kosetskaya;;;;;
Evgeniya Kosetskaya;Rest Time (5);5;;;634120;15040;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
Evgeniya Kosetskaya;Rally Time (6);6;;;649160;12800;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Evgeniya Kosetskaya;"2;-25 (2)";6;1;6;647160;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;6;Evgeniya Kosetskaya;Forehand long service;11;Construccion;;;;;;
Pai Yu Po;"-14;54 (1)";6;2;9;649160;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Attack;;;;;;
Evgeniya Kosetskaya;"-14;-40 (1)";6;3;8;649320;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;8;;;;Defence;;;;;;
Pai Yu Po;"-14;10 (1)";6;4;1;649800;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;1;;;;Attack;;;;;;
Evgeniya Kosetskaya;"4;-41 (1)";6;5;6;650760;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;6;;;;Defence;;;;;;
Pai Yu Po;"3;12 (1)";6;6;3;651280;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;3;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"-14;-54 (1)";6;7;12;651280;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Defence;;;;;;
Pai Yu Po;"-14;55 (2)";6;8;9;652880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Construccion;;;;;;
