Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Game Phase;Tipo de recepcion;Barrido Fuerte;Reves;Match Duration
Ania Setien;"20;-30 (1)";10;6;Out;245850;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;OUT SIDE;;;;Unforced Jennie Gai;;Construccion;;;;
Ania Setien;Rest Time (10);10;;;243633;12450;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (11);11;;;256083;6683;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"-3;-26 (3)";11;1;7;254083;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Ania Setien;Backhand short service;8;;;Construccion;;;;
Jennie Gai;"13;15 (1)";11;2;4;255050;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Ania Setien;"13;-16 (1)";11;3;1;255050;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Jennie Gai;"14;54 (1)";11;4;12;255050;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;F;;
Ania Setien;"11;-44 (1)";11;5;5;257183;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Attack;;;;
Jennie Gai;"-3;29 (1)";11;6;6;258216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;;;;;;Construccion;;;;
Ania Setien;"-14;-14 (1)";11;7;4;258216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"-13;54 (1)";11;8;9;258216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Ania Setien;"-14;1 (1)";11;9;1;258216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Unforced Jennie Gai;;Construccion;;;;
Jennie Gai;Rest Time (11);11;;;262766;13666;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (12);12;;;276433;15650;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"2;-26 (1)";12;1;6;274433;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Ania Setien;Backhand short service;6;;;Construccion;;;;
Jennie Gai;"-3;16 (1)";12;2;2;275416;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;2;;;;;;Construccion;Modificada/Finta;;;
Ania Setien;"-14;-55 (4)";12;3;12;275416;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;Reves;
Jennie Gai;"-14;11 (1)";12;4;1;276416;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"14;-54 (1)";12;5;9;276416;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Defence;;;;
Jennie Gai;"15;55 (1)";12;6;12;278500;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Attack;;;;
Ania Setien;"-14;-34 (1)";12;7;8;280250;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Defence;;;;
Jennie Gai;"-13;12 (1)";12;8;1;280250;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Defence;;;;
Ania Setien;"14;-56 (2)";12;9;9;281383;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Jennie Gai;"-10;12 (1)";12;10;1;281383;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Defence;;;;
Ania Setien;"-11;-5 (1)";12;11;4;283783;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"-13;7 (1)";12;12;1;283783;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"13;-55 (2)";12;13;9;283783;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Jennie Gai;"12;54 (1)";12;14;12;283783;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Ania Setien;"19;-55 (1)";12;15;Out;283783;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;OUT SIDE;;;;Unforced Jennie Gai;;Construccion;;;;
Jennie Gai;Rest Time (12);12;;;292083;14250;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (13);13;;;306333;2650;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"-2;-28 (1)";13;1;7;304333;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Ania Setien;Backhand flick;11;;;Construccion;;;;
Jennie Gai;"14;54 (2)";13;2;12;305516;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Ania Setien;"-14;-16 (2)";13;3;4;305516;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Defence;;;;
Jennie Gai;"-13;2 (1)";13;4;1;306450;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Error Ania Setien;;Construccion;;;;
Jennie Gai;Rest Time (13);13;;;308983;17533;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (14);14;;;326516;12400;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"-3;25 (3)";14;1;6;324516;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Jennie Gai;Forehand short service;2;;;Construccion;;;;
Ania Setien;"5;-16 (1)";14;2;2;325466;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;2;;;;;;Construccion;;;;
Jennie Gai;"14;54 (3)";14;3;12;325466;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;;
Ania Setien;"13;-17 (1)";14;4;1;326800;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Jennie Gai;"-15;10 (1)";14;5;1;326800;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"-14;-55 (5)";14;6;12;326800;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;Reves;
Jennie Gai;"-13;56 (2)";14;7;9;330100;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Ania Setien;"14;-16 (1)";14;8;1;330100;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Defence;;;;
Jennie Gai;"14;12 (1)";14;9;4;331900;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Ania Setien;"-14;-55 (6)";14;10;12;331900;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;Reves;
Jennie Gai;"-14;54 (2)";14;11;9;333866;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Defence;;;Reves;
Ania Setien;"-13;-54 (2)";14;12;12;334700;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Jennie Gai;"15;18 (1)";14;13;4;334700;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;Winner Ania Setien;;Construccion;;;;
Ania Setien;Rest Time (14);14;;;338916;15766;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (15);15;;;354683;866;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"3;-27 (2)";15;1;6;352683;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Ania Setien;Backhand short service;;;;Construccion;;;;
Jennie Gai;"-7;1 (1)";15;2;1;353066;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Unforced Ania Setien;;Construccion;;;;
Jennie Gai;Rest Time (15);15;;;355550;11983;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (16);16;;;367533;6050;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"2;27 (1)";16;1;7;365533;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Jennie Gai;Forehand long service;10;;;Construccion;;;;
Ania Setien;"-8;-54 (1)";16;2;12;367616;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Jennie Gai;"13;17 (1)";16;3;4;367616;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Defence;;;;
Ania Setien;"-15;-55 (3)";16;4;12;368366;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Attack;;;;
Jennie Gai;"-13;35 (1)";16;5;5;369350;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Defence;;;;
Ania Setien;"-11;-12 (1)";16;6;4;369850;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"15;13 (1)";16;7;4;369850;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;Winner Ania Setien;;Construccion;;;;
Ania Setien;Rest Time (16);16;;;373583;11400;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (17);17;;;384983;4116;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"-3;-25 (1)";17;1;7;382983;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Ania Setien;Backhand short service;6;;;Construccion;;;;
Jennie Gai;"5;17 (1)";17;2;3;384000;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;3;;;;;;Construccion;;;;
Ania Setien;"13;-14 (1)";17;3;1;384000;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Defence;;;;
Jennie Gai;"20;49 (1)";17;4;Out;385566;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;OUT SIDE;;;;Error Ania Setien;;Construccion;;;;
Jennie Gai;Rest Time (17);17;;;389100;9000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (18);18;;;398100;7700;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"-2;25 (1)";18;1;6;396100;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Jennie Gai;Forehand short service;5;;;Construccion;;;;
Ania Setien;"4;-15 (1)";18;2;2;397333;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;2;;;;;;Construccion;Finta;;;
Jennie Gai;"-12;13 (1)";18;3;1;397583;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"-13;-55 (2)";18;4;12;397583;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Jennie Gai;"-9;54 (1)";18;5;9;397583;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Attack;;;;
Ania Setien;"-14;-36 (1)";18;6;8;401500;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Defence;;;;
Jennie Gai;"-11;6 (1)";18;7;1;401500;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Attack;;;;
Ania Setien;"-3;-37 (1)";18;8;7;402200;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;;;;;;Defence;;;;
Jennie Gai;"-3;11 (1)";18;9;2;402600;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;2;;;;;;Construccion;;;;
Ania Setien;"14;-15 (2)";18;10;1;402600;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;Winner Jennie Gai;;Construccion;;;;
Ania Setien;Rest Time (18);18;;;405800;13000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (19);19;;;418800;4250;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"3;26 (1)";19;1;7;416800;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Jennie Gai;Forehand short service;5;;;Construccion;;;;
Ania Setien;"-3;-16 (1)";19;2;3;417883;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;3;;;;;;Construccion;;;;
Jennie Gai;"-13;55 (1)";19;3;9;417883;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Defence;;;Reves;
Ania Setien;"-10;-8 (1)";19;4;4;419083;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"-10;1 (1)";19;5;1;419083;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Unforced Ania Setien;;Construccion;;;;
Ania Setien;Rest Time (19);19;;;423050;57683;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (20);20;;;480733;3766;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"-3;26 (2)";20;1;6;478733;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Jennie Gai;Forehand short service;8;;;Construccion;;;;
Ania Setien;"13;-15 (1)";20;2;1;479883;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Jennie Gai;"-8;54 (1)";20;3;9;479883;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Attack;;;;
Ania Setien;"-14;-39 (1)";20;4;8;481333;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Defence;;;;
Jennie Gai;"14;19 (1)";20;5;4;481333;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;Winner Ania Setien;;Construccion;;;;
Ania Setien;Rest Time (20);20;;;484500;11866;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (21);21;;;496366;7983;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"2;-25 (1)";21;1;6;494366;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Ania Setien;Backhand short service;7;;;Construccion;;;;
Jennie Gai;"-9;17 (2)";21;2;1;495383;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;Finta;;;
Ania Setien;"-14;-54 (2)";21;3;12;495383;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;Reves;
Jennie Gai;"-11;11 (1)";21;4;1;496200;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"14;-55 (3)";21;5;9;496200;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Defence;;;;
Jennie Gai;"-10;14 (1)";21;6;1;498216;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"-14;-54 (3)";21;7;12;498216;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;Reves;
Jennie Gai;"-14;56 (1)";21;8;9;499833;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Attack;;;;
Ania Setien;"-15;-33 (1)";21;9;8;501550;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Defence;;;;
Jennie Gai;"-13;3 (1)";21;10;1;501550;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Error Ania Setien;;Construccion;;;;
Jennie Gai;Rest Time (21);21;;;504350;14033;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (22);22;;;518383;12650;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"2;25 (2)";22;1;7;516383;5000;QR;ESP;USA;After;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Jennie Gai;Forehand short service;6;;;Construccion;;;;
