Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Game Phase;Tipo de recepcion;Barrido Fuerte;Reves;Match Duration
Ania Setien;"-13;-55 (1)";3;4;12;90300;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Attack;;;;
Jennie Gai;"-15;33 (1)";3;5;5;92216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Defence;;;;
Ania Setien;"-13;-14 (1)";3;6;4;92216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"-15;55 (1)";3;7;9;92216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Ania Setien;"-15;-55 (2)";3;8;12;92216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Jennie Gai;"14;57 (1)";3;9;12;92216;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;;
Ania Setien;"-11;-15 (1)";3;10;4;97083;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"14;55 (1)";3;11;12;97083;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;;
Ania Setien;"14;-56 (1)";3;12;9;99250;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Jennie Gai;"14;53 (1)";3;13;12;99250;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;;
Ania Setien;"15;1 (1)";3;14;4;107566;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;NET;;;;Error Jennie Gai;;Construccion;;;;
Ania Setien;Rest Time (3);3;;;104516;21450;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (4);4;;;125966;5416;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"3;-27 (1)";4;1;6;123966;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Ania Setien;Backhand short service;7;;;Construccion;;;;
Jennie Gai;"-9;16 (1)";4;2;1;125000;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"14;-55 (1)";4;3;9;125000;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Defence;;;;
Jennie Gai;"15;56 (1)";4;4;12;126150;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;;;
Ania Setien;"14;-55 (2)";4;5;9;127400;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Attack;;;;
Jennie Gai;"-13;17 (1)";4;6;1;127400;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;Winner Ania Setien;;Construccion;;;;
Jennie Gai;Rest Time (4);4;;;131383;11866;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (5);5;;;143250;4183;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"-3;-26 (2)";5;1;7;141250;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Ania Setien;Backhand short service;6;;;Construccion;;;;
Jennie Gai;"9;17 (1)";5;2;4;142183;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;Finta;;;
Ania Setien;"-14;-55 (2)";5;3;12;142183;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Attack;;;;
Jennie Gai;"-14;36 (1)";5;4;5;143283;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Defence;;;;
Ania Setien;"-15;-56 (1)";5;5;12;143816;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;Winner Jennie Gai;;Construccion;;;;
Jennie Gai;Rest Time (5);5;;;147433;13316;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (6);6;;;160750;6233;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"-3;25 (2)";6;1;6;158750;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Jennie Gai;Forehand long service;10;;;Construccion;;;;
Ania Setien;"9;-55 (1)";6;2;9;160833;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Jennie Gai;"-14;15 (1)";6;3;1;160833;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"-14;-55 (3)";6;4;12;160833;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Attack;;;;
Jennie Gai;"-15;37 (1)";6;5;5;162733;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Defence;;;;
Ania Setien;"-11;-10 (1)";6;6;4;163150;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
Jennie Gai;"0;1 (1)";6;7;3;163150;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Unforced Ania Setien;;Construccion;;;;
Ania Setien;Rest Time (6);6;;;166983;9383;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (7);7;;;176366;6466;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"2;26 (1)";7;1;7;174366;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Jennie Gai;Forehand long service;9;;;Construccion;;;;
Ania Setien;"-4;-54 (1)";7;2;11;176400;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;11;;;;;;Attack;;;;
Jennie Gai;"-1;32 (1)";7;3;6;176766;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;;;;;;Defence;;;;
Ania Setien;"-3;-15 (1)";7;4;3;177066;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;3;;;;;;Construccion;;;;
Jennie Gai;"14;57 (2)";7;5;12;177066;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Defence;;F;;
Ania Setien;"12;-26 (1)";7;6;5;180000;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Construccion;;;;
Jennie Gai;"0;1 (2)";7;7;3;180000;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;NET;;;;Unforced Ania Setien;;Construccion;;;;
Ania Setien;Rest Time (7);7;;;182833;15966;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Ania Setien;Rally Time (8);8;;;198800;14383;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"-3;26 (1)";8;1;6;196800;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Jennie Gai;Forehand long service;11;;;Construccion;;;;
Ania Setien;"15;-54 (1)";8;2;9;198850;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Attack;;;;
Jennie Gai;"15;36 (1)";8;3;8;199416;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Defence;;;;
Ania Setien;"11;-41 (1)";8;4;5;199433;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Attack;;;;
Jennie Gai;"-2;37 (1)";8;5;6;200283;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;;;;;;Defence;;;;
Ania Setien;"14;-15 (1)";8;6;1;200700;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
