Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Clara Azurmendi;"4;54 (1)";3;2;11;69566;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;11;;;;Construccion;;;;;;
Natsuki Nidaira;"12;-53 (1)";3;3;9;69566;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Attack;;;;;;
Clara Azurmendi;"-5;2 (1)";3;4;2;70500;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;NET;;;;Construccion;Unforced Natsuki Nidaira;;;;;
Clara Azurmendi;Rest Time (3);3;;;73233;15166;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
Clara Azurmendi;Rally Time (4);4;;;88400;9366;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Clara Azurmendi;"-2;26 (1)";4;1;6;86400;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;6;Clara Azurmendi;Backhand short service;7;Construccion;;;;;;
Natsuki Nidaira;"11;-18 (1)";4;2;1;87433;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;Finta;;;
Clara Azurmendi;"13;54 (1)";4;3;12;87433;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Defence;;;;;;
Natsuki Nidaira;"12;-55 (1)";4;4;9;88500;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;56 (1)";4;5;9;88500;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Defence;;;;;;
Natsuki Nidaira;"-12;-55 (1)";4;6;12;90533;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Attack;;;;;;
Clara Azurmendi;"-3;38 (1)";4;7;6;92400;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;6;;;;Defence;;;;;;
Natsuki Nidaira;"14;-17 (1)";4;8;1;93000;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Clara Azurmendi;"13;14 (1)";4;9;4;93000;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;4;;;;Construccion;;;;;;
